timestamp,elapsed_time(s),marker_id,distance(m),x(m),y(m),z(m),roll(deg),pitch(deg),yaw(deg)
2025-10-21 20:26:21.287,9.037,0,0.3014,0.0304,-0.0215,0.2991,170.74,3.36,0.32
2025-10-21 20:26:21.388,9.138,0,0.3014,0.0304,-0.0215,0.2991,170.74,3.36,0.32
2025-10-21 20:26:21.519,9.270,0,0.3014,0.0304,-0.0215,0.2991,170.74,3.36,0.32
2025-10-21 20:26:21.622,9.372,0,0.3014,0.0304,-0.0215,0.2991,170.74,3.36,0.32
2025-10-21 20:26:21.751,9.501,0,0.3020,0.0306,-0.0212,0.2997,-177.14,-2.59,0.08
2025-10-21 20:26:21.885,9.636,0,0.3020,0.0306,-0.0212,0.2997,-177.14,-2.59,0.08
2025-10-21 20:26:22.023,9.773,0,0.3020,0.0306,-0.0212,0.2997,-177.14,-2.59,0.08
2025-10-21 20:26:22.155,9.906,0,0.2998,0.0302,-0.0211,0.2975,-164.67,12.42,1.74
2025-10-21 20:26:22.258,10.008,0,0.3020,0.0306,-0.0212,0.2997,-177.14,-2.59,0.08
2025-10-21 20:26:22.389,10.140,0,0.3020,0.0306,-0.0212,0.2997,-177.14,-2.59,0.08
2025-10-21 20:26:22.523,10.273,0,0.3020,0.0306,-0.0212,0.2997,-177.14,-2.59,0.08
2025-10-21 20:26:22.655,10.406,0,0.3002,0.0303,-0.0211,0.2979,178.17,0.43,0.10
2025-10-21 20:26:22.787,10.537,0,0.3019,0.0295,-0.0212,0.2997,-177.11,-2.59,0.08
2025-10-21 20:26:22.920,10.670,0,0.3005,0.0266,-0.0210,0.2986,174.03,7.58,-0.24
2025-10-21 20:26:23.020,10.770,0,0.3013,0.0242,-0.0212,0.2995,179.50,10.74,0.73
2025-10-21 20:26:23.121,10.871,0,0.2993,0.0207,-0.0210,0.2979,173.32,6.82,-0.30
2025-10-21 20:26:23.258,11.008,0,0.2984,0.0155,-0.0205,0.2973,177.41,0.52,0.07
2025-10-21 20:26:23.386,11.137,0,0.3004,0.0111,-0.0206,0.2995,-177.19,-8.66,-0.56
2025-10-21 20:26:23.490,11.240,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:23.622,11.372,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:23.724,11.474,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:23.825,11.575,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:23.956,11.707,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:24.092,11.842,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:24.222,11.972,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:24.354,12.105,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:24.457,12.208,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:24.587,12.337,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:24.688,12.438,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:24.822,12.572,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:24.922,12.672,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:25.057,12.807,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:25.188,12.938,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:25.291,13.042,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:25.421,13.171,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:25.523,13.273,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:25.653,13.404,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:25.754,13.504,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:25.854,13.604,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:25.954,13.704,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:26.056,13.806,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:26.159,13.909,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
2025-10-21 20:26:26.259,14.009,0,0.3004,0.0106,-0.0206,0.2995,-177.15,-8.72,-0.57
